DateTime,MaximumSpeed,LinkID,RoadName,SpeedBand,RoadCategory,MinimumSpeed,Location
00:00,39.0,104007318,BISHAN STREET 12,2,D,20,1.3479668056040577 103.84987239628619 1.347285087627832 103.84973081425973
00:00,,103091431,JOO CHIAT AVENUE,4,E,60,1.3160979329649067 103.91252210842339 1.3157664228530506 103.91101277695655
00:00,59.0,103046935,SERANGOON ROAD,3,B,40,1.3220591510051254 103.86246461405193 1.3215993547809128 103.86315591911669
00:00,59.0,103104914,TAMPINES ROAD,3,B,40,1.3776182033611846 103.91396137870652 1.3784841278685094 103.91458882722249
00:00,39.0,103031346,MANDAI ROAD,2,B,20,1.4026080634287352 103.81525433456433 1.402689645719599 103.81640482532244
00:00,,103026994,NIM ROAD,4,E,60,1.3806647169807298 103.86241340163942 1.3815437998182825 103.86275797975088
00:00,59.0,103067603,COMMONWEALTH AVENUE WEST,3,B,40,1.3155700538658663 103.76502558167256 1.3146394741932022 103.76542384414495
00:00,19.0,103031267,PONGGOL SEVENTEENTH AVENUE,1,E,0,1.415975121825413 103.90579256200513 1.4155838094053605 103.90532727949302
00:00,19.0,103028396,T2 BASEMENT DRIVE,1,E,0,1.354555356422381 103.98908738997977 1.3535347292627729 103.98854931143833
00:00,39.0,103106763,SHUNFU ROAD,2,D,20,1.352414677139681 103.83714126749518 1.3515001003201181 103.83831024337069
00:00,39.0,103011039,MEYER ROAD,2,C,20,1.2979413745180766 103.8858495015343 1.2993701686587462 103.88595357348129
00:00,39.0,103080426,YIO CHU KANG ROAD,2,B,20,1.3789273339780308 103.8766121640118 1.378711751253142 103.8766364665296
00:00,39.0,103012016,HOLT ROAD,2,E,20,1.2934310999334304 103.82484733439362 1.2942176200903235 103.82582486565752
00:00,,103057175,LENTOR AVENUE,4,B,60,1.3926676149662798 103.83644380027843 1.392788736696967 103.836253059076
00:00,,103103595,AYER RAJAH EXPRESSWAY,4,A,60,1.300565991283341 103.77776131278489 1.2996764969597445 103.77910681274477
00:00,39.0,103060887,LORONG CHENCHARU,2,E,20,1.415477529721408 103.82619703778077 1.4160947264320878 103.82485779848956
00:00,,103113002,ROBEY CRESCENT,4,E,60,1.3681399431741093 103.88229413669929 1.3671462206132938 103.8822154648141
00:00,,104006030,CHAMPIONS WAY,4,D,60,1.42701067079461 103.78942754317147 1.427377339644944 103.79057571213559
00:00,,103095079,JALAN PERGAM,4,E,60,1.3429777888159506 103.96104006277909 1.3444529517840251 103.96148851121612
00:00,39.0,103049418,CORPORATION WALK,2,E,20,1.3405902913720105 103.71891121842984 1.3406012772585627 103.71905854545528
00:00,39.0,103001699,JALAN TUA KONG,2,E,20,1.3175305116478193 103.92525609318645 1.3178591974926868 103.92514905196315
00:00,39.0,103092054,UBI AVENUE 1,2,D,20,1.329405125601843 103.90055847095665 1.33028797714188 103.90013972317871
00:00,39.0,103051271,PANDAN GARDENS,2,D,20,1.3201278593517238 103.74868537261747 1.3212958354200364 103.74893330639192
00:00,39.0,103059303,BEGONIA ROAD,2,E,20,1.3880197775625285 103.86286960896632 1.3887483279632333 103.86328471580873
00:00,39.0,103097367,CHOA CHU KANG AVENUE 1,2,D,20,1.3771303230124494 103.74696278147944 1.3773960570732424 103.74784899770385
00:00,59.0,110007138,CHOA CHU KANG GROVE,3,D,40,1.3748946916417757 103.75076440243522 1.374328251359226 103.74969207613857
00:00,39.0,104000458,SENGKANG SQUARE,2,D,20,1.3905194797109601 103.89517723305796 1.3902761784135231 103.89587315703142
00:00,59.0,108002211,SENGKANG SQUARE,3,D,40,1.3901340015841874 103.89627982248255 1.3902761784135231 103.89587315703142
00:00,,103103090,PAN ISLAND EXPRESSWAY,4,A,60,1.3353189072938845 103.92713807525239 1.3349874819082723 103.92556329774584
00:00,39.0,103110244,SOPHIA ROAD,2,E,20,1.3017335514498491 103.8488138995188 1.3020505931348514 103.84753501033079
00:00,,103028636,BERWICK DRIVE,4,E,60,1.3630355316688796 103.85998640895656 1.3632841358353125 103.86048119009452
00:00,59.0,103082018,WOODLANDS AVENUE 2,3,B,40,1.4395011293833984 103.7878219532999 1.4395374111765264 103.78775881717601
00:00,,103093627,KAMPONG BUGIS,4,E,60,1.3058800726679345 103.86715785189837 1.3064149744042008 103.86600939900082
00:06,59.0,103098943,CHOA CHU KANG AVENUE 3,3,D,40,1.3805895432850994 103.74201730473243 1.3800400299576012 103.74120855605975
00:06,19.0,103110036,HARVEY ROAD,1,E,0,1.333534171783063 103.88445104036495 1.334480240662004 103.88423757172991
00:06,39.0,104006262,JALAN TIONG,2,B,20,1.2885446575569008 103.81522708590182 1.2894487475306688 103.81601120052828
00:06,59.0,103070015,ELIAS ROAD,3,D,40,1.3777681206363968 103.94139850987841 1.378867186631845 103.94152708219333
00:06,59.0,103031346,MANDAI ROAD,3,B,40,1.4026080634287352 103.81525433456433 1.402689645719599 103.81640482532244
00:06,39.0,103026994,NIM ROAD,2,E,20,1.3806647169807298 103.86241340163942 1.3815437998182825 103.86275797975088
00:06,59.0,103011039,MEYER ROAD,3,C,40,1.2979413745180766 103.8858495015343 1.2993701686587462 103.88595357348129
00:06,59.0,103057175,LENTOR AVENUE,3,B,40,1.3926676149662798 103.83644380027843 1.392788736696967 103.836253059076
00:06,59.0,103095079,JALAN PERGAM,3,E,40,1.3429777888159506 103.96104006277909 1.3444529517840251 103.96148851121612
00:06,39.0,108002211,SENGKANG SQUARE,2,D,20,1.3901340015841874 103.89627982248255 1.3902761784135231 103.89587315703142
00:12,59.0,103026994,NIM ROAD,3,E,40,1.3806647169807298 103.86241340163942 1.3815437998182825 103.86275797975088
00:18,19.0,103023263,MIMOSA ROAD,1,E,0,1.3846516285071027 103.86130024952197 1.3847021513504938 103.86163326231437
00:18,39.0,103079659,BENOI ROAD,2,B,20,1.3218406112967973 103.67908937587285 1.3224708533860603 103.67911675172884
00:18,19.0,103070015,ELIAS ROAD,1,D,0,1.3777681206363968 103.94139850987841 1.378867186631845 103.94152708219333
00:18,39.0,103104914,TAMPINES ROAD,2,B,20,1.3776182033611846 103.91396137870652 1.3784841278685094 103.91458882722249
00:18,39.0,103028396,T2 BASEMENT DRIVE,2,E,20,1.354555356422381 103.98908738997977 1.3535347292627729 103.98854931143833
00:18,59.0,103080426,YIO CHU KANG ROAD,3,B,40,1.3789273339780308 103.8766121640118 1.378711751253142 103.8766364665296
00:18,19.0,103012016,HOLT ROAD,1,E,0,1.2934310999334304 103.82484733439362 1.2942176200903235 103.82582486565752
00:24,59.0,103097367,CHOA CHU KANG AVENUE 1,3,D,40,1.3771303230124494 103.74696278147944 1.3773960570732424 103.74784899770385
00:24,19.0,108002211,SENGKANG SQUARE,1,D,0,1.3901340015841874 103.89627982248255 1.3902761784135231 103.89587315703142
00:30,39.0,103089006,PIONEER ROAD NORTH,2,B,20,1.3468683821422813 103.69025703809406 1.3466193981361332 103.6903389382926
00:30,,103104914,TAMPINES ROAD,4,B,60,1.3776182033611846 103.91396137870652 1.3784841278685094 103.91458882722249
00:36,39.0,103110036,HARVEY ROAD,2,E,20,1.333534171783063 103.88445104036495 1.334480240662004 103.88423757172991
00:36,,103079659,BENOI ROAD,4,B,60,1.3218406112967973 103.67908937587285 1.3224708533860603 103.67911675172884
00:36,39.0,103093627,KAMPONG BUGIS,2,E,20,1.3058800726679345 103.86715785189837 1.3064149744042008 103.86600939900082
00:42,39.0,104006030,CHAMPIONS WAY,2,D,20,1.42701067079461 103.78942754317147 1.427377339644944 103.79057571213559
00:48,59.0,103106763,SHUNFU ROAD,3,D,40,1.352414677139681 103.83714126749518 1.3515001003201181 103.83831024337069
00:48,19.0,103028636,BERWICK DRIVE,1,E,0,1.3630355316688796 103.85998640895656 1.3632841358353125 103.86048119009452
00:54,,104003992,CLEMENTI AVENUE 6,4,F,60,1.3163287378822295 103.76133268167833 1.3152605534502255 103.76088573773033
00:54,39.0,103067603,COMMONWEALTH AVENUE WEST,2,B,20,1.3155700538658663 103.76502558167256 1.3146394741932022 103.76542384414495
00:54,,103028396,T2 BASEMENT DRIVE,4,E,60,1.354555356422381 103.98908738997977 1.3535347292627729 103.98854931143833
00:54,59.0,103092054,UBI AVENUE 1,3,D,40,1.329405125601843 103.90055847095665 1.33028797714188 103.90013972317871
00:54,59.0,104000458,SENGKANG SQUARE,3,D,40,1.3905194797109601 103.89517723305796 1.3902761784135231 103.89587315703142
01:06,59.0,103110036,HARVEY ROAD,3,E,40,1.333534171783063 103.88445104036495 1.334480240662004 103.88423757172991
01:06,19.0,103089006,PIONEER ROAD NORTH,1,B,0,1.3468683821422813 103.69025703809406 1.3466193981361332 103.6903389382926
01:06,59.0,103031267,PONGGOL SEVENTEENTH AVENUE,3,E,40,1.415975121825413 103.90579256200513 1.4155838094053605 103.90532727949302
01:06,39.0,103028636,BERWICK DRIVE,2,E,20,1.3630355316688796 103.85998640895656 1.3632841358353125 103.86048119009452
01:12,59.0,103028396,T2 BASEMENT DRIVE,3,E,40,1.354555356422381 103.98908738997977 1.3535347292627729 103.98854931143833
01:18,,103070015,ELIAS ROAD,4,D,60,1.3777681206363968 103.94139850987841 1.378867186631845 103.94152708219333
01:18,39.0,103091431,JOO CHIAT AVENUE,2,E,20,1.3160979329649067 103.91252210842339 1.3157664228530506 103.91101277695655
01:25,39.0,103053551,PENJURU CLOSE,2,E,20,1.312473778966346 103.73316481781487 1.3127432138862785 103.73199916551488
01:25,19.0,103091431,JOO CHIAT AVENUE,1,E,0,1.3160979329649067 103.91252210842339 1.3157664228530506 103.91101277695655
01:25,,104000458,SENGKANG SQUARE,4,D,60,1.3905194797109601 103.89517723305796 1.3902761784135231 103.89587315703142
01:25,,108002211,SENGKANG SQUARE,4,D,60,1.3901340015841874 103.89627982248255 1.3902761784135231 103.89587315703142
01:25,39.0,103082018,WOODLANDS AVENUE 2,2,B,20,1.4395011293833984 103.7878219532999 1.4395374111765264 103.78775881717601
01:31,59.0,103106791,JURONG WEST STREET 51,3,C,40,1.3469175675090634 103.72108428937013 1.347671822206832 103.72065434759489
01:31,,103012016,HOLT ROAD,4,E,60,1.2934310999334304 103.82484733439362 1.2942176200903235 103.82582486565752
01:37,59.0,103030883,HOUGANG AVENUE 4,3,D,40,1.3742439017982357 103.88529975827204 1.3738695600842703 103.8852253844054
01:43,39.0,103031267,PONGGOL SEVENTEENTH AVENUE,2,E,20,1.415975121825413 103.90579256200513 1.4155838094053605 103.90532727949302
01:43,59.0,103110244,SOPHIA ROAD,3,E,40,1.3017335514498491 103.8488138995188 1.3020505931348514 103.84753501033079
02:01,,103106763,SHUNFU ROAD,4,D,60,1.352414677139681 103.83714126749518 1.3515001003201181 103.83831024337069
02:01,39.0,103095079,JALAN PERGAM,2,E,20,1.3429777888159506 103.96104006277909 1.3444529517840251 103.96148851121612
02:13,39.0,103076063,WOODLANDS ROAD,2,B,20,1.399027473240379 103.7553182996927 1.3986609754803143 103.75518194323922
02:37,,103089006,PIONEER ROAD NORTH,4,B,60,1.3468683821422813 103.69025703809406 1.3466193981361332 103.6903389382926
02:43,39.0,103113002,ROBEY CRESCENT,2,E,20,1.3681399431741093 103.88229413669929 1.3671462206132938 103.8822154648141
03:07,,103082018,WOODLANDS AVENUE 2,4,B,60,1.4395011293833984 103.7878219532999 1.4395374111765264 103.78775881717601
03:19,,103037283,LI HWAN DRIVE,4,E,60,1.354538472093295 103.86279521974849 1.3554224742291467 103.863192917283
03:25,19.0,103110244,SOPHIA ROAD,1,E,0,1.3017335514498491 103.8488138995188 1.3020505931348514 103.84753501033079
03:55,59.0,103037283,LI HWAN DRIVE,3,E,40,1.354538472093295 103.86279521974849 1.3554224742291467 103.863192917283
04:07,59.0,103100830,JURONG WEST STREET 91,3,D,40,1.3430596047385601 103.69250778755682 1.3422347747467551 103.69145681907827
04:07,,103059303,BEGONIA ROAD,4,E,60,1.3880197775625285 103.86286960896632 1.3887483279632333 103.86328471580873
04:19,,103076063,WOODLANDS ROAD,4,B,60,1.399027473240379 103.7553182996927 1.3986609754803143 103.75518194323922
04:19,39.0,110007138,CHOA CHU KANG GROVE,2,D,20,1.3748946916417757 103.75076440243522 1.374328251359226 103.74969207613857
04:37,,103030883,HOUGANG AVENUE 4,4,D,60,1.3742439017982357 103.88529975827204 1.3738695600842703 103.8852253844054
04:37,19.0,104007318,BISHAN STREET 12,1,D,0,1.3479668056040577 103.84987239628619 1.347285087627832 103.84973081425973
04:55,59.0,103102707,TEBAN GARDENS ROAD,3,D,40,1.3221397264324177 103.74067367269409 1.3224151277960807 103.73936107597333
04:55,59.0,103059303,BEGONIA ROAD,3,E,40,1.3880197775625285 103.86286960896632 1.3887483279632333 103.86328471580873
05:31,19.0,103031346,MANDAI ROAD,1,B,0,1.4026080634287352 103.81525433456433 1.402689645719599 103.81640482532244
05:43,19.0,103079659,BENOI ROAD,1,B,0,1.3218406112967973 103.67908937587285 1.3224708533860603 103.67911675172884
05:43,59.0,103051271,PANDAN GARDENS,3,D,40,1.3201278593517238 103.74868537261747 1.3212958354200364 103.74893330639192
05:49,,103051271,PANDAN GARDENS,4,D,60,1.3201278593517238 103.74868537261747 1.3212958354200364 103.74893330639192
06:01,59.0,103012016,HOLT ROAD,3,E,40,1.2934310999334304 103.82484733439362 1.2942176200903235 103.82582486565752
06:01,,103097367,CHOA CHU KANG AVENUE 1,4,D,60,1.3771303230124494 103.74696278147944 1.3773960570732424 103.74784899770385
06:43,59.0,103091431,JOO CHIAT AVENUE,3,E,40,1.3160979329649067 103.91252210842339 1.3157664228530506 103.91101277695655
06:49,,103080426,YIO CHU KANG ROAD,4,B,60,1.3789273339780308 103.8766121640118 1.378711751253142 103.8766364665296
06:55,19.0,103106791,JURONG WEST STREET 51,1,C,0,1.3469175675090634 103.72108428937013 1.347671822206832 103.72065434759489
07:13,39.0,104003992,CLEMENTI AVENUE 6,2,F,20,1.3163287378822295 103.76133268167833 1.3152605534502255 103.76088573773033
07:13,,103031267,PONGGOL SEVENTEENTH AVENUE,4,E,60,1.415975121825413 103.90579256200513 1.4155838094053605 103.90532727949302
07:13,59.0,103103595,AYER RAJAH EXPRESSWAY,3,A,40,1.300565991283341 103.77776131278489 1.2996764969597445 103.77910681274477
07:13,59.0,104006030,CHAMPIONS WAY,3,D,40,1.42701067079461 103.78942754317147 1.427377339644944 103.79057571213559
07:13,,103001699,JALAN TUA KONG,4,E,60,1.3175305116478193 103.92525609318645 1.3178591974926868 103.92514905196315
07:13,59.0,103093627,KAMPONG BUGIS,3,E,40,1.3058800726679345 103.86715785189837 1.3064149744042008 103.86600939900082
07:19,19.0,104003992,CLEMENTI AVENUE 6,1,F,0,1.3163287378822295 103.76133268167833 1.3152605534502255 103.76088573773033
07:19,,103011039,MEYER ROAD,4,C,60,1.2979413745180766 103.8858495015343 1.2993701686587462 103.88595357348129
07:19,,103049418,CORPORATION WALK,4,E,60,1.3405902913720105 103.71891121842984 1.3406012772585627 103.71905854545528
07:25,39.0,103046935,SERANGOON ROAD,2,B,20,1.3220591510051254 103.86246461405193 1.3215993547809128 103.86315591911669
07:50,,103102707,TEBAN GARDENS ROAD,4,D,60,1.3221397264324177 103.74067367269409 1.3224151277960807 103.73936107597333
08:02,19.0,103030883,HOUGANG AVENUE 4,1,D,0,1.3742439017982357 103.88529975827204 1.3738695600842703 103.8852253844054
08:02,19.0,103037283,LI HWAN DRIVE,1,E,0,1.354538472093295 103.86279521974849 1.3554224742291467 103.863192917283
08:02,19.0,104006030,CHAMPIONS WAY,1,D,0,1.42701067079461 103.78942754317147 1.427377339644944 103.79057571213559
08:08,19.0,103059303,BEGONIA ROAD,1,E,0,1.3880197775625285 103.86286960896632 1.3887483279632333 103.86328471580873
08:08,59.0,103103090,PAN ISLAND EXPRESSWAY,3,A,40,1.3353189072938845 103.92713807525239 1.3349874819082723 103.92556329774584
08:20,19.0,103026994,NIM ROAD,1,E,0,1.3806647169807298 103.86241340163942 1.3815437998182825 103.86275797975088
08:32,59.0,104006262,JALAN TIONG,3,B,40,1.2885446575569008 103.81522708590182 1.2894487475306688 103.81601120052828
08:32,19.0,103067603,COMMONWEALTH AVENUE WEST,1,B,0,1.3155700538658663 103.76502558167256 1.3146394741932022 103.76542384414495
08:38,,103053551,PENJURU CLOSE,4,E,60,1.312473778966346 103.73316481781487 1.3127432138862785 103.73199916551488
08:38,39.0,103103090,PAN ISLAND EXPRESSWAY,2,A,20,1.3353189072938845 103.92713807525239 1.3349874819082723 103.92556329774584
21:33,39.0,103046419,TUDOR CLOSE,2,E,20,1.3272983831607585 103.81902739813964 1.3269356969952486 103.81906247979533
21:39,19.0,103092054,UBI AVENUE 1,1,D,0,1.329405125601843 103.90055847095665 1.33028797714188 103.90013972317871
22:15,,104006262,JALAN TIONG,4,B,60,1.2885446575569008 103.81522708590182 1.2894487475306688 103.81601120052828
22:34,,103023263,MIMOSA ROAD,4,E,60,1.3846516285071027 103.86130024952197 1.3847021513504938 103.86163326231437
22:52,19.0,103001699,JALAN TUA KONG,1,E,0,1.3175305116478193 103.92525609318645 1.3178591974926868 103.92514905196315
23:22,19.0,103106763,SHUNFU ROAD,1,D,0,1.352414677139681 103.83714126749518 1.3515001003201181 103.83831024337069
23:52,19.0,103097367,CHOA CHU KANG AVENUE 1,1,D,0,1.3771303230124494 103.74696278147944 1.3773960570732424 103.74784899770385
